name,time
brush,00:00:05.5
brush,00:00:07.4
brush,00:00:15.7
zem,00:00:24.6
zem,00:00:29.9
zem,00:00:33.1
ball,00:00:55.0
ball,00:00:57.1
ball,00:01:01.2
ball,00:01:11.6
brush,00:01:30.2
car,00:01:39.5
car,00:01:42.2
car,00:01:47.8
tima,00:01:54.7
car,00:01:57.9
tima,00:02:12.1
tima,00:02:25.2
brush,00:02:33.2
brush,00:02:35.1
brush,00:02:38.8
brush,00:02:40.7
car,00:02:52.9
car,00:02:54.6
manu,00:03:07.2
brush,00:03:42.3
brush,00:03:44.4
manu,00:03:48.4
manu,00:04:05.2
ball,00:04:39.1
ball,00:04:40.7
ball,00:04:45.0
manu,00:04:48.9
brush,00:05:03.8
tima,00:05:23.1
tima,00:05:25.6
ball,00:05:40.1
ball,00:05:46.5
ball,00:05:51.0
ball,00:05:54.5
ball,00:05:58.5
brush,00:06:01.3
brush,00:06:04.6
ball,00:06:11.8
ball,00:06:13.4
ball,00:06:31.9
ball,00:06:34.2
ball,00:06:39.6
brush,00:06:41.4
brush,00:06:43.2
brush,00:06:46.7
brush,00:06:47.1
brush,00:06:47.8
brush,00:06:48.2
brush,00:06:49.2
brush,00:06:49.4
zem,00:07:20.6
brush,00:07:42.6
car,00:08:18.3
car,00:08:24.9
brush,00:08:30.7
zem,00:08:51.2
ball,00:09:09.0
ball,00:09:11.9
ball,00:10:35.6
ball,00:10:37.4
ball,00:10:40.4
ball,00:10:42.0
ball,00:10:49.9
ball,00:10:52.2
ball,00:10:55.1
ball,00:11:11.8
ball,00:11:13.1
ball,00:11:19.6
ball,00:11:25.8
tima,00:11:52.0
tima,00:12:06.0
ball,00:12:17.1
manu,00:12:22.4
manu,00:12:25.4
ball,00:12:32.5
ball,00:12:38.2
ball,00:13:45.5
ball,00:13:47.6
ball,00:13:56.9
ball,00:14:00.8
ball,00:14:03.2
ball,00:14:23.1
ball,00:14:24.7
ball,00:14:42.7
