name,time
manu,00:03.3
manu,00:08.9
manu,00:09.5
manu,00:10.3
manu,00:37.8
manu,00:40.4
car,00:55.9
car,00:57.2
car,00:59.2
car,01:09.7
manu,01:51.5
car,01:56.1
manu,01:56.8
car,02:04.2
manu,02:04.8
tima,02:26.1
brush,02:28.4
brush,02:33.9
brush,02:42.1
brush,02:52.9
brush,02:56.8
brush,03:03.5
tima,03:43.0
tima,03:45.9
tima,04:05.9
tima,04:34.2
ball,05:47.1
brush,05:51.0
ball,05:53.3
zem,05:54.6
zem,05:57.2
zem,05:59.0
zem,06:15.5
ball,06:23.7
ball,06:24.8
ball,06:26.9
ball,06:28.2
ball,06:31.4
ball,06:33.0
ball,06:35.1
ball,06:37.0
ball,07:03.3
ball,07:05.5
ball,07:14.2
ball,07:16.9
ball,07:46.3
ball,07:51.4
ball,08:24.6
ball,08:43.1
ball,08:48.0
zem,08:54.2
ball,09:30.1
ball,09:34.6
ball,09:38.6
ball,09:54.8
ball,09:57.0
ball,10:01.6
ball,10:03.1
zem,10:16.3
zem,10:25.2
zem,10:27.0
car,10:37.0
ball,11:40.9
ball,11:43.0
ball,11:44.0
zem,11:48.5
brush,11:58.4
tima,12:00.5
tima,13:00.8
ball,13:56.5
ball,14:02.3
tima,14:04.7
brush,14:06.0
brush,14:08.9
car,14:11.8
brush,14:13.9
manu,14:16.6
manu,14:32.7
manu,14:35.7
manu,14:54.6
manu,14:56.0
